province,constituency,number,candidate_name,party,votes_llm,votes_kn,diff,abs_diff
สุพรรณบุรี,4,5,นายวัฒนา ยั่งยืน,โอกาสใหม่,1659,58049,-56390,56390
นครปฐม,1,1,นายศุภโชค ศรีสุขจร,พรรคภูมิใจไทย,57347,1041,56306,56306
สุพรรณบุรี,4,1,นายเสมอกัน เที่ยงธรรม,ภูมิใจไทย,58049,2547,55502,55502
ราชบุรี,4,1,นายอัครเดช วงษ์พิทักษ์โรจน์,ภูมิใจไทย,55778,626,55152,55152
เพชรบูรณ์,6,3,นายเกรียงไกร ปานสีทอง,เพื่อไทย,4610,59008,-54398,54398
ชัยภูมิ,2,1,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,54996,1254,53742,53742
สุรินทร์,2,7,นายณรงค์ มุตตะโสภา,พลังประชารัฐ,463,53228,-52765,52765
นครปฐม,4,8,นายอนุชิต ปฐมพงศ์พิทักษ์,พรรครวมพลังสร้างชาติไทย,363,50336,-49973,49973
เชียงใหม่,2,8,ร.ต.ต.เกษมสันต์ ยศรุ่งโรจน์,กล้าธรรม,2350,51532,-49182,49182
ลพบุรี,3,6,นายเอนก สนามทอง,เศรษฐกิจ,1816,49264,-47448,47448
นครปฐม,4,3,พันเอก สุขชาต สะสมทรัพย์,พรรคภูมิใจไทย,50336,3798,46538,46538
อุบลราชธานี,7,1,นายชาญณรงค์เดช อยู่สุข,ไทยก้าวใหม่,76,45003,-44927,44927
เพชรบูรณ์,6,4,นายอัคร ทองใจสด,ภูมิใจไทย,59008,14303,44705,44705
ลำปาง,1,8,นายก้องเกียรติ มาทา,พรรครวมไทยสร้างชาติ,3490,47614,-44124,44124
นครราชสีมา,10,2,นางกาญจนา บุญมีศิริทิพงศ์,พรรคประชาธิปัตย์,560,43185,-42625,42625
กรุงเทพมหานคร,22,1,นายสุภกร ตันติไพบูลย์ธนะ,ประชาชน,42264,786,41478,41478
นนทบุรี,1,8,นายธนบดี อินทวีโร,เสรีรวมไทย,1184,42123,-40939,40939
กรุงเทพมหานคร,22,6,นายพงศ์ไพศาล มะลุลีม,รวมไทยสร้างชาติ,1705,42264,-40559,40559
นนทบุรี,5,1,นายปรีติ เจริญศิลป์,ประชาชน,41888,1689,40199,40199
สมุทรปราการ,8,2,นายเทพฤทธิ์ ภาษี,ประชาชน,40230,682,39548,39548
สมุทรปราการ,8,9,นายอภิศักดิ์ แก้วหาญ,แรงงานสร้างไทย,765,40230,-39465,39465
สงขลา,6,3,ว่าที่ ร.ต.สมพร แซ่ลิ่ม,พรรคประชาชน,9865,48391,-38526,38526
สงขลา,6,1,นายอนุกูล พฤกษานุศักดิ์,พรรคภูมิใจไทย,48391,9865,38526,38526
เชียงใหม่,5,2,นายสมชิด กันธะยา,ประชาชน,39120,874,38246,38246
นครราชสีมา,10,1,นายอภิชา เลิศพชรกมล,พรรคเพื่อไทย,37863,1050,36813,36813
กรุงเทพมหานคร,25,7,นายณัฐดนัย หลำแสงกุล,กล้าธรรม,357,37035,-36678,36678
สุรินทร์,2,5,นายณัฏฐพล จรัสรพีพงษ์,ภูมิใจไทย,53228,17069,36159,36159
กรุงเทพมหานคร,25,1,นางสาวแอนศิริ วลัยกนก,ประชาชน,37035,1335,35700,35700
นครราชสีมา,3,1,นายสมบัติ กาญจนวัฒนา,เพื่อไทย,37500,1992,35508,35508
นครศรีธรรมราช,9,3,นางสาวนิรมล เพ็งจันทร์,รวมไทยสร้างชาติ,1060,36536,-35476,35476
นครศรีธรรมราช,9,1,นายชาญวัฒนา อิสระวัฒนา,ประชาธิปัตย์,36536,1060,35476,35476
นครราชสีมา,3,3,นายประยงค์ ดอกสันเทียะ,ประชาธิปัตย์,1992,37400,-35408,35408
กรุงเทพมหานคร,28,3,นายสุวัฒน์ ม่วงศิริ,เพื่อไทย,12310,47692,-35382,35382
นครศรีธรรมราช,3,3,นายมานะ ยวงทอง,ภูมิใจไทย,35542,623,34919,34919
กรุงเทพมหานคร,28,1,นางสาวชลณัฏฐ์ โกยกุล,ประชาชน,47692,13153,34539,34539
นครพนม,2,1,นายพิศาล บุพศิริ,ประชาชน,16967,51176,-34209,34209
นครพนม,2,3,นางมนพร เจริญศรี,เพื่อไทย,51176,16967,34209,34209
